1.00	1	2037772
1.01	2037772	12397449
1.02	12397449	29259990
1.03	29259990	52150220
1.04	52150220	82584786
1.05	82584786	175670048
1.06	175670048	198887570
1.07	198887570	228315518
1.08	228315518	250153976
1.09	250153976	267926978
1.10	267926978	283259156
1.11	283259156	298039872
1.12	298039872	999999999
2.00	1	1553915
2.01	1553915	4193254
2.02	4193254	15016290	
2.03	15016290	28771109
2.04	28771109	71742767
2.05	71742767	153140073
2.06	153140073	187179001
2.07	187179001	204896812
2.08	204896812	223320002
2.09	223320002	235471439
2.10	235471439	999999999
3.00	1	1729270
3.01	1729270	3888331
3.02	3888331	8599890
3.03	8599890	13109892
3.04	13109892	126255823
3.05	126255823	168409685
3.06	168409685	191113733
3.07	191113733	205370271
3.08	205370271	215869148
3.09	215869148	232162781
3.10	232162781	999999999
4.00	1	694004
4.01	694004	5045991
4.02	5045991	11403953
4.03	11403953	21605708
4.04	21605708	32280422
4.05	32280422	151110020
4.06	151110020	171066103
4.07	171066103	179834540
4.08	179834540	205136045
4.09	205136045	237246237
4.10	237246237	239987981
4.11	239987981	999999999
5.00	1	3324163
5.01	3324163	8008060
5.02	8008060	14870573
5.03	14870573	80841383
5.04	80841383	172438770
5.05	172438770	195358319
5.06	195358319	204659857
5.07	204659857	211775643
5.08	211775643	215521293
5.09	215521293	999999999
6.00	1	8276813
6.01	8276813	86946680
6.02	86946680	96840186
6.03	96840186	104619429
6.04	104619429	121033444
6.05	121033444	153956114
6.06	153956114	161325348
6.07	161325348	167092650
6.08	167092650	999999999
7.00	1	4712353
7.01	4712353	13861507
7.02	13861507	128175453
7.03	128175453	156050470
7.04	156050470	168334968
7.05	168334968	174407842
7.06	174407842	999999999
8.00	1	1831964
8.01	1831964	10072434
8.02	10072434	21153183
8.03	21153183	108690693
8.04	108690693	122478285
8.05	122478285	146426603
8.06	146426603	165267974
8.07	165267974	169336170
8.08	169336170	172961960
8.09	172961960	999999999
9.00	1	3312268
9.01	3312268	11781894
9.02	11781894	23268159
9.03	23268159	101747879
9.04	101747879	127192550
9.05	127192550	136806801
9.06	136806801	148241346
9.07	148241346	154869700
9.08	154869700	999999999
10.00	1	2650397
10.01	2650397	5008368
10.02	5008368	13559627
10.03	13559627	88348445
10.04	88348445	127958713
10.05	127958713	137311961
10.06	137311961	142812228
10.07	142812228	999999999
